0,20,40,60,80,100
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
132.75,42.89,49.92,58.8,65.4,65.4
