0,20,40,60,80,100
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
98.7,91.61,91.61,91.61,91.61,91.61
