slack_0,non_interrupt,interrupt
306.55,239.88,239.51
306.27,239.88,239.51
302.26,239.88,239.51
296.81,239.88,239.51
291.14,239.88,239.51
284.51,239.88,239.51
278.4,239.88,239.51
272.3,239.88,239.51
266.74,239.88,239.51
263.12,239.88,239.51
261.69,239.88,239.51
261.01,239.88,239.51
259.88,239.88,239.51
259.01,239.88,239.51
260.08,239.88,239.51
260.87,239.88,239.51
263.43,239.88,239.51
267.58,239.88,239.51
274.03,239.88,239.51
281.37,239.88,239.51
287.74,239.88,239.51
295.03,239.88,239.51
300.35,239.88,239.51
304.27,239.88,239.51
305.58,239.88,239.51
304.31,239.88,239.51
301.06,239.88,239.51
295.2,239.88,239.51
287.98,239.88,239.51
279.64,239.88,239.51
271.78999999999996,239.88,239.51
264.12,239.88,239.51
259.12,239.88,239.51
254.92,239.88,239.51
250.98,239.88,239.51
247.7,239.88,239.51
244.55,239.88,239.51
242.53,239.88,239.51
240.52,239.88,239.51
239.88,239.88,239.51
241.59,241.59,239.88
245.98000000000002,245.98,241.31
251.16,251.16,243.29
257.44,257.44,245.81
263.9,258.32,247.91
270.17,258.32,250.87
275.84000000000003,258.32,253.24
280.38,258.32,253.93
285.42,258.32,255.31
288.95,258.32,255.92
293.78,258.32,256.55
300.31,258.32,257.23
305.36,258.32,257.58
308.04,258.32,257.58
308.8,258.32,257.58
307.67,258.32,257.58
304.5,258.32,257.58
300.35,258.32,257.58
297.78,258.32,257.58
303.06,258.32,257.58
313.76,258.32,257.58
325.69,258.32,257.58
336.19,258.32,258.29
341.25,258.32,258.29
341.55,258.32,258.29
337.01,258.32,258.29
324.9,258.32,258.29
306.81,258.32,258.29
288.95,258.32,258.29
274.87,258.32,258.29
265.59000000000003,258.32,258.29
258.32,258.32,258.29
265.81,265.81,258.29
291.36,291.36,265.76
328.33,313.72,275.51
366.78999999999996,313.72,286.19
404.1,313.72,296.84
438.42,313.72,304.48
462.26,313.72,304.48
469.76,313.72,304.48
466.16,313.72,304.48
463.96000000000004,313.72,304.48
457.9,313.72,304.48
459.63,313.72,304.48
464.58,313.72,304.48
470.04,313.72,304.48
478.05,313.72,304.48
474.05,313.72,304.48
468.07,313.72,304.48
451.21999999999997,313.72,304.48
421.95,313.72,304.48
394.63,313.72,304.48
364.6,313.72,304.48
340.72,313.72,304.48
323.74,313.72,304.48
313.72,313.72,304.48
321.46,314.25,304.48
341.25,314.25,304.48
371.59,314.25,305.32
406.5,314.25,310.08
443.86,314.25,314.17
476.64,314.25,314.25
495.8,314.25,314.25
501.95,314.25,314.25
500.38,314.25,314.25
503.53,314.25,314.25
509.52,314.25,314.25
522.78,314.25,314.25
542.95,314.25,314.25
566.66,314.25,314.25
584.4,314.25,314.25
592.57,314.25,314.25
595.24,314.25,314.25
593.2,314.25,314.25
580.02,314.25,314.25
563.35,314.25,314.25
556.13,314.25,314.25
553.64,314.25,314.25
554.51,314.25,314.25
561.23,314.25,314.25
579.0,314.25,314.25
620.76,314.25,314.25
663.92,314.25,314.25
699.77,314.25,314.25
729.0699999999999,314.25,314.25
739.48,314.25,314.25
735.49,314.25,314.25
702.3199999999999,314.25,314.25
656.37,314.25,314.25
616.19,314.25,314.25
582.41,314.25,314.25
566.76,314.25,314.25
571.98,314.25,314.25
581.84,314.25,314.25
592.71,314.25,314.25
600.92,314.25,314.25
596.67,314.25,314.25
578.94,314.25,314.25
544.92,314.25,314.25
507.25,314.25,314.25
470.45,314.25,314.25
433.97,314.25,314.25
405.65,314.25,314.25
386.2,314.25,314.25
385.64,314.25,314.25
402.38,314.25,314.25
427.61,314.25,314.25
455.92,314.25,314.25
485.36,314.25,314.25
508.43,314.25,314.25
519.17,314.25,314.25
515.38,314.25,314.25
502.58,314.25,314.25
491.2,314.25,314.25
482.26,314.25,314.25
482.98,314.25,314.25
488.24,314.25,314.25
502.69,314.25,314.25
522.47,314.25,314.25
537.71,314.25,314.25
545.91,314.25,314.25
547.68,314.25,314.25
538.99,314.25,314.25
522.3199999999999,314.25,314.25
507.82,314.25,314.25
495.31,314.25,314.25
481.72,314.25,314.25
470.54,314.25,314.25
464.77,314.25,314.25
464.02,314.25,314.25
463.07000000000005,314.25,314.25
454.62,314.25,314.25
446.68,314.25,314.25
